ticker,name,first_date,last_date,n_trading_days,n_missing_days,pct_missing,history_months
HDFCBANK.NS,HDFC Bank,2019-01-01,2026-06-23,1848,5,0.0027,89
BHARTIARTL.NS,Bharti Airtel,2019-01-01,2026-06-23,1848,5,0.0027,89
APOLLOHOSP.NS,Apollo Hospitals,2019-01-01,2026-06-23,1848,5,0.0027,89
BIOCON.NS,Biocon Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
JSWENERGY.NS,JSW Energy Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
SUDARSCHEM.NS,Sudarshan Chemicals,2019-01-01,2026-06-23,1847,5,0.0027,89
AEGISLOG.NS,Aegis Logistics Ltd,2019-01-01,2026-06-23,1846,6,0.0033,89
KPRMILL.NS,K P R Mill Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
GREENLAM.NS,Greenlam Industries Ltd,2019-01-01,2026-06-23,1846,6,0.0033,89
CAMLINFINE.NS,Camlin Fine Science Ltd,2019-01-01,2026-06-23,1847,6,0.0032,89
SURYAROSNI.NS,Surya Roshni Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
EIDPARRY.NS,EID Parry Ltd,2019-01-01,2026-06-23,1847,5,0.0027,89
BANDHANBNK.NS,Bandhan Bank,2019-01-01,2026-06-23,1848,5,0.0027,89
ABREL.NS,Aditya Birla Real Estate,2019-01-01,2026-06-23,1848,5,0.0027,89
INDIGO.NS,Interglobal Aviation Ltd,2019-01-01,2026-06-23,1847,5,0.0027,89
MARATHON.NS,Marathon Nextgen Realty Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
LTTS.NS,L&T Technology Services Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
ASTERDM.NS,Aster DM Healthcare Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
BSE.NS,BSE Ltd,2019-01-01,2026-06-23,1848,5,0.0027,89
